feature,gain,split
POS_NAME_CONTRACT_STATUS_Completed_MEAN,6685.690732002258,347.0
PREV_RATE_DOWN_PAYMENT_MEAN,6673.183682584762,356.1
PREV_ACTIVE_REPAYMENT_RATIO_MEAN,6618.624355602265,299.0
INS_60M_SIGNIFICANT_LATE_PAYMENT_MEAN,6610.097001791,237.9
AMT_INCOME_TOTAL,6592.222490930557,357.7
PREV_ACTIVE_DAYS_DECISION_MEAN,6542.712939310074,341.4
INS_AMT_INSTALMENT_MIN,6541.990725421905,320.8
APPROVED_DAYS_LAST_DUE_1ST_VERSION_MEAN,6538.893515491485,291.4
INS_36M_AMT_INSTALMENT_MAX,6525.107106685638,308.7
APPROVED_DAYS_LAST_DUE_DIFF_MIN,6524.656127548218,316.7
BUREAU_CREDIT_ACTIVE_Active_MEAN,6489.946201610565,269.4
BUREAU_ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,6386.135730457306,261.0
APPROVED_AMT_ANNUITY_MEAN,6358.389148712158,330.0
APPROVED_DAYS_FIRST_DUE_MEAN,6329.40873260498,318.4
120_TREND_PAID_OVER_AMOUNT,6310.171272611618,333.6
APPROVED_APPLICATION_CREDIT_RATIO_MAX,6299.568781852722,282.8
INS_36M_SK_ID_PREV_SIZE,6285.033362293243,315.5
PREV_LAST12M_DAYS_LAST_DUE_1ST_VERSION_MIN,6233.0063394069675,302.0
PREV_APPLICATION_CREDIT_RATIO_MAX,6229.350844097137,275.0
PREV_LAST24M_AMT_ANNUITY_MAX,6223.296928596496,322.6
INS_36M_AMT_PAYMENT_MEAN,6170.901338338852,304.2
PREV_RATE_DOWN_PAYMENT_MAX,6113.378936910629,296.7
BUREAU_LL_STATUS_12345_MEAN,6108.68041062355,323.4
REFUSED_APPLICATION_CREDIT_RATIO_MIN,6027.578855705261,213.0
INS_36M_AMT_INSTALMENT_MEAN,6015.926621198654,298.6
LAST_LOAN_LATE_PAYMENT_count,5961.248991632461,307.7
INS_60M_SK_ID_PREV_SIZE,5930.755856704712,284.3
REFUSED_DAYS_DECISION_MIN,5907.144350433349,279.1
APPROVED_HOUR_APPR_PROCESS_START_MAX,5904.285958862305,274.1
APARTMENTS_MEDI,5881.514564275742,282.1
REFUSED_APPLICATION_CREDIT_DIFF_VAR,5880.927993822098,273.9
POS_MONTHS_BALANCE_MAX,5869.6095157623295,260.9
BUREAU_AMT_CREDIT_SUM_DEBT_SUM,5833.563167333603,272.1
PREV_LAST24M_APPLICATION_CREDIT_RATIO_MAX,5820.46451587677,314.1
PREV_DAYS_DECISION_MIN,5801.4458696365355,268.9
BUREAU_STATUS_0_MEAN,5794.977161931992,330.6
PREV_Cash_AMT_ANNUITY_MEAN,5742.376174354553,303.5
PREV_Cash_SIMPLE_INTERESTS_VAR,5722.275677108764,320.2
REFUSED_APPLICATION_CREDIT_DIFF_MAX,5698.248858213425,250.0
PREV_LAST12M_APPLICATION_CREDIT_RATIO_MIN,5664.390631723404,231.3
LAST_LOAN_DPD_sum,5649.720881938934,150.1
LAST_LOAN_DPD_max,5648.910298871994,125.0
INS_60M_PAYMENT_DIFFERENCE_MEAN,5608.035150766373,250.4
PREV_LAST12M_DAYS_LAST_DUE_1ST_VERSION_MAX,5601.6867072582245,261.9
INS_AMT_INSTALMENT_MAX,5573.658876514435,262.9
APPROVED_AMT_GOODS_PRICE_MAX,5566.243678045273,265.0
BUREAU_LAST6M_AMT_CREDIT_SUM_MAX,5554.250081110001,288.5
12_TREND_PAID_OVER_AMOUNT,5546.236789655685,298.9
BUREAU_AMT_CREDIT_SUM_DEBT_MAX,5544.732635688782,273.4
INS_60M_AMT_INSTALMENT_SUM,5512.068905830383,246.9
APPROVED_DAYS_LAST_DUE_DIFF_MAX,5495.188353300095,286.0
INS_12M_LIMIT_USE_MAX,5494.153775119781,196.3
60_TREND_PAID_OVER_AMOUNT,5484.856591701508,284.4
PREV_Cash_AMT_CREDIT_SUM,5470.760690021515,277.6
APPROVED_AMT_ANNUITY_MAX,5468.07574634552,268.4
TOTAL_REPAYMENT_RATIO,5466.212186717987,274.5
APPROVED_DAYS_DECISION_MEAN,5427.568550109863,257.7
PREV_DOWN_PAYMENT_TO_CREDIT_MEAN,5409.570617771149,287.4
INS_60M_AMT_INSTALMENT_MEAN,5391.586696481705,274.2
INS_36M_AMT_INSTALMENT_SUM,5314.9938764095305,250.7
INS_36M_AMT_PAYMENT_MAX,5308.629177570343,253.2
